,as_of,country,province,city,new_cases,diagnosed,deaths,recovered
0,2020-02-12 13:49,China,湖北,,1638,33366,1068,2639
1,2020-02-12 13:49,China,湖北,武汉,1104,19558,820,1078
2,2020-02-12 13:49,China,湖北,孝感,109,2751,45,139
3,2020-02-12 13:49,China,湖北,黄冈,66,2398,54,301
4,2020-02-12 13:49,China,湖北,随州,34,1129,12,23
5,2020-02-12 13:49,China,湖北,荆州,35,1110,21,56
6,2020-02-12 13:49,China,湖北,襄阳,25,1088,12,49
7,2020-02-12 13:49,China,湖北,黄石,39,874,6,82
8,2020-02-12 13:49,China,湖北,鄂州,71,861,28,61
9,2020-02-12 13:49,China,湖北,宜昌,12,784,8,52
10,2020-02-12 13:49,China,湖北,荆门,40,696,24,69
11,2020-02-12 13:49,China,湖北,十堰,31,536,1,59
12,2020-02-12 13:49,China,湖北,咸宁,10,525,6,56
13,2020-02-12 13:49,China,湖北,仙桃,22,460,13,41
14,2020-02-12 13:49,China,湖北,天门,32,293,10,12
15,2020-02-12 13:49,China,湖北,恩施州,8,203,3,31
16,2020-02-12 13:49,China,湖北,潜江,0,90,5,3
17,2020-02-12 13:49,China,湖北,神农架林区,0,10,0,10
18,2020-02-12 13:49,China,湖北,未明确地区,0,0,0,517
19,2020-02-12 13:49,China,广东,,42,1219,1,241
20,2020-02-12 13:49,China,广东,深圳,11,386,0,66
21,2020-02-12 13:49,China,广东,广州,6,323,0,49
22,2020-02-12 13:49,China,广东,珠海,1,87,0,4
23,2020-02-12 13:49,China,广东,佛山,8,78,0,15
24,2020-02-12 13:49,China,广东,东莞,5,67,0,7
25,2020-02-12 13:49,China,广东,中山,4,62,0,16
26,2020-02-12 13:49,China,广东,惠州,1,54,0,4
27,2020-02-12 13:49,China,广东,汕头,0,25,0,6
28,2020-02-12 13:49,China,广东,江门,1,21,0,4
29,2020-02-12 13:49,China,广东,湛江,0,21,0,9
30,2020-02-12 13:49,China,广东,肇庆,1,16,1,7
31,2020-02-12 13:49,China,广东,茂名,2,13,0,1
32,2020-02-12 13:49,China,广东,梅州,0,13,0,4
33,2020-02-12 13:49,China,广东,阳江,0,13,0,1
34,2020-02-12 13:49,China,广东,清远,2,12,0,5
35,2020-02-12 13:49,China,广东,揭阳,0,8,0,1
36,2020-02-12 13:49,China,广东,韶关,0,7,0,3
37,2020-02-12 13:49,China,广东,汕尾,0,5,0,1
38,2020-02-12 13:49,China,广东,潮州,0,5,0,0
39,2020-02-12 13:49,China,广东,河源,0,3,0,1
40,2020-02-12 13:49,China,广东,未明确地区,0,0,0,37
41,2020-02-12 13:49,China,河南,,30,1135,8,232
42,2020-02-12 13:49,China,河南,信阳,3,231,0,34
43,2020-02-12 13:49,China,河南,南阳,2,138,2,32
44,2020-02-12 13:49,China,河南,郑州,5,137,0,40
45,2020-02-12 13:49,China,河南,驻马店,2,128,0,26
46,2020-02-12 13:49,China,河南,商丘,0,86,0,14
47,2020-02-12 13:49,China,河南,周口,1,66,0,16
48,2020-02-12 13:49,China,河南,平顶山,1,55,1,13
49,2020-02-12 13:49,China,河南,新乡,5,53,1,7
50,2020-02-12 13:49,China,河南,安阳,3,49,0,10
